Frame Number,Total Detected,In Alert Area,Alert Triggered
3,12,7,False
6,15,8,False
9,16,10,False
12,16,10,False
15,17,10,False
18,16,10,False
21,20,11,False
24,15,9,False
27,13,8,False
30,15,9,False
33,18,10,False
36,21,9,False
39,17,8,False
42,16,10,False
45,13,7,False
48,12,5,False
51,11,3,False
54,15,6,False
57,15,5,False
60,16,7,False
63,14,4,False
66,15,5,False
69,13,2,False
72,12,2,False
75,16,4,False
78,16,5,False
81,18,4,False
84,22,6,False
87,18,7,False
90,14,5,False
93,17,7,False
96,15,6,False
99,20,11,False
102,22,11,False
105,18,8,False
108,18,8,False
111,15,8,False
114,13,7,False
117,11,6,False
120,13,7,False
