ID,Entry_Frame,Last_Seen_Frame,Frames_Inside_Square
1,2,437,436
2,2,45,20
3,2,505,504
4,2,223,163
5,2,288,0
6,2,91,0
7,2,515,514
8,2,825,746
9,2,137,27
10,2,209,0
11,2,33,0
12,2,376,370
13,7,38,0
15,10,43,0
16,11,244,137
17,13,55,0
18,13,43,0
19,15,437,418
20,16,49,11
21,16,591,488
24,22,85,46
27,38,105,27
29,43,257,215
30,55,85,0
31,55,88,9
32,55,107,20
33,61,98,0
34,64,94,0
35,64,94,0
36,67,316,234
38,70,302,78
39,70,141,72
41,81,507,0
44,85,514,198
45,85,189,0
49,91,311,0
50,98,130,0
51,98,146,0
52,99,198,0
55,111,335,140
56,111,288,178
57,119,223,0
60,123,231,102
61,134,220,0
64,146,221,0
65,162,222,0
66,162,225,0
70,176,212,37
71,207,251,0
72,207,262,34
73,208,828,496
74,210,241,8
76,211,409,199
78,216,507,50
79,224,286,63
81,225,256,0
82,233,332,0
83,234,292,0
84,237,281,16
86,244,328,85
87,246,587,342
89,252,321,0
90,252,311,0
92,259,828,187
94,263,376,0
96,268,798,0
97,281,361,0
99,289,464,176
100,297,332,0
103,311,673,338
104,311,725,0
106,316,508,0
108,323,363,0
112,338,368,0
113,339,386,0
114,341,488,122
115,344,392,0
117,347,512,164
119,350,386,0
120,353,635,251
122,359,391,10
123,362,512,88
124,362,396,35
126,378,451,74
128,392,432,0
129,396,471,0
130,398,435,0
132,406,442,4
134,413,443,0
135,414,828,172
136,428,477,50
137,429,461,3
140,438,489,0
142,441,471,0
143,442,502,0
144,452,502,51
147,457,493,0
152,477,784,55
156,481,656,0
157,481,511,0
158,481,828,0
159,482,796,25
160,482,640,159
161,482,662,0
162,482,704,0
163,484,828,315
164,488,527,0
166,491,532,0
168,493,619,0
171,500,592,0
172,500,815,0
173,503,574,0
175,520,668,149
177,523,670,23
179,532,828,261
180,546,628,59
181,562,619,0
184,574,606,0
185,575,798,198
187,578,623,0
190,585,720,136
192,591,674,31
194,598,828,155
198,605,659,0
199,606,828,223
201,621,786,0
204,624,805,0
205,629,828,97
208,670,715,41
213,683,828,137
214,685,828,144
215,703,828,126
216,707,828,10
217,719,828,40
220,754,828,75
224,771,828,58
225,782,828,47
226,790,828,39
229,810,828,19
